country,year,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_1498,Yes,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1499,No,Urban,Yes,3,40,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1500,No,Rural,No,8,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1501,No,Rural,Yes,4,42,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1502,No,Rural,Yes,6,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1503,No,Urban,Yes,4,30,Female,Spouse,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_1504,No,Rural,Yes,8,40,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1505,Yes,Urban,Yes,5,32,Female,Spouse,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_1506,Yes,Rural,Yes,4,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1507,No,Rural,Yes,8,35,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1508,No,Urban,Yes,10,47,Male,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_1509,Yes,Rural,No,3,21,Female,Other relative,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1510,Yes,Rural,Yes,1,37,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1511,No,Rural,Yes,4,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1512,No,Rural,Yes,4,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1513,Yes,Urban,Yes,4,32,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1514,No,Rural,No,6,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1515,No,Rural,Yes,4,20,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1516,No,Urban,No,4,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1517,No,Rural,Yes,3,50,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_1518,Yes,Rural,Yes,3,64,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1519,Yes,Urban,Yes,5,45,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1520,Yes,Urban,Yes,1,36,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Kenya,2018,uniqueid_1521,No,Rural,Yes,5,37,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1522,No,Rural,Yes,3,19,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1523,No,Urban,Yes,7,30,Female,Child,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1524,No,Rural,No,1,87,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_1525,Yes,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_1526,Yes,Urban,Yes,2,31,Male,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1527,No,Rural,Yes,6,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1528,No,Urban,Yes,2,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1529,No,Rural,Yes,1,85,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1530,No,Urban,Yes,4,26,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1531,No,Rural,No,3,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1532,No,Rural,Yes,2,58,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1533,No,Rural,Yes,4,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1534,No,Rural,Yes,3,55,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_1535,No,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1536,No,Urban,Yes,2,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_1537,No,Urban,Yes,6,36,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1538,No,Rural,Yes,1,38,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_1539,Yes,Urban,Yes,2,55,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1540,Yes,Urban,Yes,3,60,Male,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1541,Yes,Urban,Yes,1,56,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_1542,No,Rural,Yes,3,85,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1543,No,Urban,Yes,4,42,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1544,Yes,Rural,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1545,Yes,Urban,Yes,3,32,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_1546,No,Rural,Yes,4,20,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1547,No,Rural,No,9,18,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1548,Yes,Urban,Yes,3,24,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_1549,Yes,Rural,Yes,5,28,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,2018,uniqueid_1550,No,Urban,Yes,6,23,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1551,No,Urban,Yes,3,21,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1552,No,Rural,Yes,6,63,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1553,No,Urban,No,5,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1554,No,Rural,Yes,1,48,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,2018,uniqueid_1555,No,Rural,Yes,4,20,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1556,No,Rural,No,1,90,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1557,Yes,Urban,Yes,1,23,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_1558,No,Rural,Yes,6,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1559,No,Rural,No,1,76,Male,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1560,No,Rural,Yes,4,33,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1561,No,Rural,No,2,46,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1562,No,Rural,Yes,2,52,Female,Other non-relatives,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_1563,No,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_1564,No,Rural,Yes,5,36,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1565,No,Urban,No,5,24,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
Kenya,2018,uniqueid_1566,No,Rural,Yes,2,56,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1567,No,Urban,Yes,2,19,Female,Other relative,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_1568,No,Rural,Yes,9,39,Female,Spouse,Married/Living together,Primary education,Other Income
Kenya,2018,uniqueid_1569,Yes,Urban,Yes,5,43,Male,Head of Household,Married/Living together,Secondary education,Other Income
Kenya,2018,uniqueid_1570,No,Rural,Yes,1,74,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1571,Yes,Urban,Yes,3,34,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_1572,No,Rural,Yes,4,58,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_1573,No,Urban,Yes,2,54,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1574,No,Rural,Yes,6,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1575,No,Urban,Yes,2,20,Female,Child,Single/Never Married,Vocational/Specialised training,Informally employed
Kenya,2018,uniqueid_1576,No,Urban,Yes,5,33,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1577,No,Rural,Yes,3,51,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1578,No,Rural,Yes,7,50,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1579,No,Rural,Yes,2,36,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Kenya,2018,uniqueid_1580,No,Rural,No,7,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1581,No,Rural,No,7,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1582,Yes,Urban,Yes,5,34,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_1583,No,Rural,Yes,5,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1584,No,Urban,Yes,1,58,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,2018,uniqueid_1585,Yes,Rural,Yes,5,47,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1586,Yes,Urban,Yes,1,65,Female,Head of Household,Divorced/Seperated,No formal education,Self employed
Kenya,2018,uniqueid_1587,No,Urban,Yes,3,39,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1588,Yes,Rural,Yes,4,41,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1589,No,Rural,No,3,18,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1590,Yes,Rural,Yes,1,68,Male,Head of Household,Married/Living together,No formal education,Formally employed Private
Kenya,2018,uniqueid_1591,No,Urban,Yes,1,44,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1592,No,Rural,No,10,17,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1593,No,Rural,Yes,4,55,Female,Spouse,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1594,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1595,No,Rural,No,3,60,Female,Head of Household,Widowed,No formal education,Self employed
Kenya,2018,uniqueid_1596,Yes,Urban,Yes,2,33,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_1597,No,Rural,Yes,2,28,Male,Child,Single/Never Married,Tertiary education,Farming and Fishing
Kenya,2018,uniqueid_1598,No,Urban,Yes,3,20,Female,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1599,No,Urban,No,1,58,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,2018,uniqueid_1600,No,Rural,No,13,26,Female,Other relative,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1601,Yes,Urban,Yes,2,25,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_1602,No,Rural,Yes,3,53,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_1603,Yes,Urban,Yes,9,55,Male,Spouse,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_1604,No,Rural,Yes,3,36,Female,Head of Household,Widowed,Secondary education,Formally employed Government
Kenya,2018,uniqueid_1605,No,Rural,Yes,3,24,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_1606,No,Rural,No,7,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1607,Yes,Rural,Yes,3,44,Female,Head of Household,Widowed,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_1608,No,Urban,Yes,6,48,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1609,No,Rural,Yes,8,20,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1610,No,Urban,No,1,80,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_1611,No,Rural,Yes,7,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1612,Yes,Urban,Yes,2,24,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_1613,Yes,Urban,Yes,6,45,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_1614,No,Urban,Yes,3,29,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1615,Yes,Urban,Yes,5,34,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1616,Yes,Rural,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1617,No,Urban,Yes,1,24,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Kenya,2018,uniqueid_1618,No,Rural,No,7,77,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_1619,No,Rural,No,5,19,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1620,No,Urban,Yes,3,76,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Kenya,2018,uniqueid_1621,No,Urban,Yes,2,34,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1622,Yes,Rural,Yes,7,34,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1623,No,Rural,Yes,7,54,Male,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_1624,No,Urban,Yes,5,37,Female,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1625,Yes,Urban,Yes,6,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1626,No,Rural,No,3,28,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1627,No,Urban,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1628,Yes,Urban,No,6,38,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1629,No,Rural,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1630,No,Urban,Yes,2,78,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1631,No,Urban,Yes,7,28,Female,Spouse,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_1632,No,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1633,No,Rural,No,6,17,Female,Child,Single/Never Married,Primary education,Other Income
Kenya,2018,uniqueid_1634,Yes,Urban,Yes,5,37,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_1635,Yes,Rural,Yes,2,62,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1636,No,Urban,Yes,3,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1637,No,Urban,Yes,7,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1638,No,Rural,Yes,9,48,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_1639,Yes,Rural,Yes,4,50,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_1640,No,Urban,No,5,16,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1641,No,Rural,Yes,4,19,Male,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1642,No,Urban,Yes,1,45,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,2018,uniqueid_1643,No,Urban,Yes,1,60,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_1644,Yes,Urban,Yes,6,32,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1645,No,Rural,Yes,6,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1646,No,Rural,Yes,6,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1647,Yes,Rural,No,2,84,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1648,Yes,Urban,Yes,1,45,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1649,No,Urban,Yes,2,61,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1650,No,Rural,No,8,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1651,No,Urban,Yes,1,21,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_1652,No,Rural,Yes,2,30,Male,Parent,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1653,Yes,Rural,Yes,3,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1654,Yes,Rural,Yes,5,36,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1655,Yes,Rural,Yes,8,30,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_1656,No,Rural,Yes,4,40,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_1657,Yes,Rural,Yes,5,42,Female,Spouse,Married/Living together,Primary education,Formally employed Government
Kenya,2018,uniqueid_1658,No,Rural,Yes,1,49,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_1659,No,Rural,Yes,4,57,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_1660,No,Urban,Yes,4,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1661,No,Urban,Yes,6,62,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1662,No,Rural,No,2,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1663,No,Rural,No,4,48,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1664,No,Rural,Yes,7,23,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1665,No,Rural,No,6,18,Female,Other relative,Single/Never Married,Primary education,Government Dependent
Kenya,2018,uniqueid_1666,No,Rural,Yes,1,76,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_1667,Yes,Urban,Yes,5,40,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1668,Yes,Urban,Yes,5,33,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1669,No,Rural,Yes,5,69,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1670,No,Rural,Yes,1,86,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1671,No,Rural,Yes,6,43,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1672,No,Rural,Yes,1,21,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1673,No,Rural,Yes,5,36,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1674,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1675,No,Rural,Yes,6,30,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1676,No,Rural,Yes,4,18,Male,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_1677,No,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1678,No,Urban,Yes,2,44,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_1679,Yes,Rural,Yes,1,73,Male,Head of Household,Widowed,Secondary education,Other Income
Kenya,2018,uniqueid_1680,No,Rural,Yes,4,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1681,No,Urban,Yes,4,50,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1682,Yes,Rural,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_1683,No,Urban,Yes,1,21,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,uniqueid_1684,Yes,Urban,Yes,1,50,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1685,No,Rural,Yes,1,31,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_1686,Yes,Urban,Yes,4,30,Female,Other relative,Single/Never Married,Vocational/Specialised training,Formally employed Private
Kenya,2018,uniqueid_1687,Yes,Urban,Yes,4,47,Female,Head of Household,Widowed,Secondary education,Self employed
Kenya,2018,uniqueid_1688,No,Urban,No,1,30,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1689,Yes,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
Kenya,2018,uniqueid_1690,No,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1691,Yes,Urban,Yes,2,35,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1692,No,Rural,No,1,60,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1693,No,Rural,Yes,5,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1694,No,Rural,Yes,2,59,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1695,No,Urban,No,5,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1696,No,Urban,Yes,1,19,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_1697,No,Rural,No,1,59,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1698,No,Urban,Yes,4,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1699,Yes,Urban,Yes,2,52,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1700,Yes,Urban,Yes,2,25,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_1701,No,Rural,No,6,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1702,No,Rural,Yes,5,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1703,Yes,Urban,Yes,2,35,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_1704,No,Urban,No,3,18,Female,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1705,No,Urban,Yes,3,25,Female,Child,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,uniqueid_1706,No,Rural,Yes,6,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1707,No,Rural,Yes,3,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1708,No,Rural,No,7,40,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1709,No,Rural,No,7,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1710,Yes,Rural,Yes,7,39,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_1711,No,Rural,Yes,3,21,Female,Other relative,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1712,No,Urban,Yes,6,39,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1713,No,Urban,Yes,3,28,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1714,No,Urban,Yes,7,20,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1715,No,Urban,Yes,1,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1716,No,Urban,Yes,5,21,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1717,No,Rural,Yes,1,82,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1718,Yes,Urban,Yes,1,25,Male,Head of Household,Single/Never Married,Tertiary education,Other Income
Kenya,2018,uniqueid_1719,No,Rural,No,2,40,Male,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
Kenya,2018,uniqueid_1720,No,Rural,Yes,1,25,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Government
Kenya,2018,uniqueid_1721,No,Rural,Yes,6,28,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_1722,No,Rural,No,6,18,Male,Child,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1723,No,Rural,No,6,18,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1724,Yes,Urban,Yes,5,32,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1725,Yes,Urban,Yes,2,30,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1726,Yes,Urban,No,1,25,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1727,No,Rural,No,9,18,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_1728,No,Rural,No,5,56,Female,Child,Divorced/Seperated,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1729,No,Urban,Yes,3,25,Male,Head of Household,Married/Living together,Secondary education,Informally employed
